"Agency","Site","Site AQS","Param","Param AQS","POC","Method","Duration","Date (UTC)","Time (UTC)","Date (LST)","Time (LST)","Offset (LST)","Value","Unit","QC Code"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/16/2019","05:00","02/16/2019","00:00","-05:00","36.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/17/2017","05:00","02/17/2017","00:00","-05:00","33.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/17/2018","05:00","02/17/2018","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/17/2019","05:00","02/17/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/18/2017","05:00","02/18/2017","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/18/2018","05:00","02/18/2018","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/18/2019","05:00","02/18/2019","00:00","-05:00","30.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/19/2017","05:00","02/19/2017","00:00","-05:00","45.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/19/2018","05:00","02/19/2018","00:00","-05:00","25.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/19/2019","05:00","02/19/2019","00:00","-05:00","39.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/20/2017","05:00","02/20/2017","00:00","-05:00","38.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/20/2018","05:00","02/20/2018","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/20/2019","05:00","02/20/2019","00:00","-05:00","30.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/21/2017","05:00","02/21/2017","00:00","-05:00","41.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/21/2018","05:00","02/21/2018","00:00","-05:00","20.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/21/2019","05:00","02/21/2019","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/22/2017","05:00","02/22/2017","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/22/2018","05:00","02/22/2018","00:00","-05:00","17.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/22/2019","05:00","02/22/2019","00:00","-05:00","37.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/23/2017","05:00","02/23/2017","00:00","-05:00","37.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/23/2018","05:00","02/23/2018","00:00","-05:00","19.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/23/2019","05:00","02/23/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/24/2017","05:00","02/24/2017","00:00","-05:00","38.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/24/2018","05:00","02/24/2018","00:00","-05:00","9.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/24/2019","05:00","02/24/2019","00:00","-05:00","40.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/25/2017","05:00","02/25/2017","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/25/2018","05:00","02/25/2018","00:00","-05:00","9.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/25/2019","05:00","02/25/2019","00:00","-05:00","42.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/26/2017","05:00","02/26/2017","00:00","-05:00","35.0","AQI","0"
